OHD041606286ASTRO CONTAINER CO            2795 SHARON RD.               EVENDALE                 OH45241    5137711230STAN KRINOV, ENGR MG
OHD004233003MONSANTO CO.                  RIVER ROAD                    ADDYSTON                 OH45001    5134672132GERALD OSTERMAN     
OHD004254132GULF OIL CO.                  US HIGHWAY 50 BY-PASS         HOOVVEN                  OH45033    5133533400R. FISCHER          
OHD080927940HAMILTON PLASTICS             4219 US ROUTE 42              MASON                    OH45040    5133987050JOHN NEWBERRY       
OHD000723585LSF MANUFACTURING CO.         4074 BETHANY RD.              MASON                    OH45040    5133989060DOUG ALLEN          
OHD093904613KOCH ASPHALT CO.              10100 BROWER RD.              NORTH BEND               OH45052    5139410550DARRYL DARNELL      
OHD000724245MIAMI FORT STATION, C&GE      BROWER RD.                    NORTH BEND               OH45052    5136322268EDWARD GALLOWAY     
OHD004264784FERDINAND PLANT,RUTGERS NEASE PADDY'S RUN RD.               ROSS                     OH45061    8142382424LLOYD MOUNT         
OHD004237335TOTES, INCORPORATED           KEMPER ROAD                   LOVELAND                 OH45140    5135832386GARY PERKINS        
OHD059097840MOSLER LOCK DIV AMERICAN STD  ROUTE 50                      MILFORD                  OH45150    5138316100NICK MAUS           
OHD018195289RAY STEIDEL PONTIAC           810 MAIN ST.                  MILFORD                  OH45150                                  
OHD004263653FORD MOTOR CO. SHARONVVILLE   3000 SHARON RD.               CINCINNATI               OH45201    5137827427JERALD HELLMAN      
OHD017607979AMERICAN LINEN SUPPLY CO      2114 READDING RD              CINCINNATI               OH45202    6123714229WILLETTE WAYNE CORP 
OHD000376426GENERAL MILLS FUN GROUP       1014 VINE ST.                 CINCINNATI               OH45202    513846339 JOHN EARLEY         
OHD000750177MILL CREEK WTR TREATMENT PLANT1600 GEST ST.                 CINCINNATI               OH45204    5133524935A. SCHWER           
OHD000720250MSD LIQUID FLUID INCINERATOR  1600 GEST ST.                 CINCINNATI               OH45204    5133524828JOHN TRAPP          
OHD004477634QUEEN CITY BARREL CO.         1937 SOUTH ST.                CINCINNATI               OH45204    5139218811WALTER ARCHINAL     
OHD000821397TRESLER OIL CO.               4015 RIVER ROAD               CINCINNATI               OH45204    5133471234LYNN ERNST          
OHD000821488UNION OIL CINCINNATI TERMINAL 3117 SOUTHSIDE AVE.           CINCINNATI               OH45204    5139215600J.C. PEARSON        
OHD000810259WISEMAN OIL CO. INC           3415 SOUTHSIDE AVE.           CINCINNATI               OH45204    4122619500STEPHEN WISEMAN     
OHD004257200FISCHER SPECIAL MFG. CO.      446 MORGAN ST.                CINCINNATI               OH45206    5139611280FREDERICK FISCHER   
OHD004252367SCREEN PRINT PRODUCTS, INC.   2203 FOWLER ST.               CINCINNATI               OH45206    5138612200WES KEMPFLING       
OHD004236816INMONT CORP.                  1720-54 DANA AV.              CINCINNATI               OH45207    5138416100HUGO RASP           
OHD004249710THE WILLIAMSTON CO.           3500 MADISON RD.              CINCINNATI               OH45209              RICHARD CLIFTON     
OHD001000769CONCORD CONTROL INC.          1910 ELM ST.                  CINCINNATI               OH45210    5136214211FRANK LEURCK        
OHD004246401C. W. ZUMBIEL CO.             2339 HARRIS AVE.              CINCINNATI               OH45212              DONALD HAUSER       
OHD001845189C. W. ZUMBIEL CO.             1743 CLENERY AVE.             CINCINNATI               OH45212              JACK SCHMITT        
OHD056487101DIAMOND INT'L PACKAGING DIV.  BEECH & ROBERTSON STS.        CINCINNATI               OH45212    5135312160KENNETH BOONE       
OHD004545539GENERAL POLYMERS CORP.        3925 HUSTON AVE.              CINCINNATI               OH45212    5136310649PAUL SONDERMAN      
OHD004260089GM ASSEMBLY DIV.,NORWOOD PLT  4726 SMITH RD.                NORWOOD                  OH45212    5138415102G. M. KILLEEN       
OHD086438538MCB MANUFACTURING CHEMISTS    2909 HIGHLAND AVE.            CINCINNATI               OH45212    5136310445MICHAEL SAUTER      
OHD004246468PERRY & DERRICK CO.           2510 HIGHLAND AV.             CINCINNATI               OH45212    5133515800PAUL GROSSER        
OHD004234787THE SHEPHERD CHEMICAL CO.     4900 BEECH ST.                CINCINNATI               OH45212    5137311110TED POTTER          
OHD004258828SIEMENS ALLIS                 4620 FFORREST AVE.            CINCINNATI               OH45212    5138413130LARRY BELL          
OHD004236022SMITH ELECTRO CHEMICAL CO.    5936 CARTHAGE COURT           CINCINNATI               OH45212              HAROLD F. SMITH     
OHD004252631TEXO CORPORATION              2801 HIGHLAND AV.             CINCINNATI               OH45212    5137313400DAVID KAPLAN        
OHD004255055THE UNITED STATES SHOE CORP.  1658 HERALD AVE.              CINCINNATI               OH45212    5138414280THOMAS HARTMAN      
